Folder,Image Name,Total Time (ms),Preprocess Time (ms),Inference Time (ms),Postprocess Time (ms)
High-Proc + High aq time,rgb_image_00000_0.5.png,156.5602,1.9999,47.5373,107.0230
High-Proc + High aq time,rgb_image_00000_0.25.png,24.9977,2.0020,19.9950,3.0007
High-Proc + High aq time,rgb_image_00000.png,15.1501,1.9999,11.1504,1.9999
High-Proc + High aq time,rgb_image_00001_0.5.png,14.0014,1.0030,10.9966,2.0018
High-Proc + High aq time,rgb_image_00001_0.25.png,13.2837,1.0002,10.1204,2.1632
High-Proc + High aq time,rgb_image_00001.png,19.1176,1.0002,15.1174,3.0000
High-Proc + High aq time,rgb_image_00002_0.5.png,14.2605,2.0008,10.2611,1.9987
High-Proc + High aq time,rgb_image_00002_0.25.png,14.1363,1.0004,12.0008,1.1351
High-Proc + High aq time,rgb_image_00002.png,16.8295,2.1975,11.1222,3.5098
High-Proc + medium aq time,rgb_image_00000_0.5.png,14.1406,2.0037,10.9971,1.1399
High-Proc + medium aq time,rgb_image_00000_0.25.png,13.6540,0.0000,11.6508,2.0032
High-Proc + medium aq time,rgb_image_00000.png,20.2377,1.9994,16.1228,2.1155
High-Proc + medium aq time,rgb_image_00001_0.5.png,14.1284,0.9973,11.1313,1.9999
High-Proc + medium aq time,rgb_image_00001_0.25.png,14.1385,1.9999,10.1354,2.0032
High-Proc + medium aq time,rgb_image_00001.png,14.2913,1.9977,10.1345,2.1591
High-Proc + medium aq time,rgb_image_00002_0.5.png,16.0022,2.0030,11.9972,2.0020
High-Proc + medium aq time,rgb_image_00002_0.25.png,13.1531,1.1530,10.0002,1.9999
High-Proc + medium aq time,rgb_image_00002.png,18.1270,1.0004,15.1265,2.0001
High-Proc+ low aq time,rgb_image_00000_0.5.png,15.1105,2.0003,10.1085,3.0017
High-Proc+ low aq time,rgb_image_00000_0.25.png,15.0018,0.9997,11.0023,2.9998
High-Proc+ low aq time,rgb_image_00000.png,14.2519,0.9983,11.2534,2.0003
High-Proc+ low aq time,rgb_image_00001_0.5.png,19.1209,2.0027,15.1186,1.9996
High-Proc+ low aq time,rgb_image_00001_0.25.png,15.5110,1.9999,11.0033,2.5079
High-Proc+ low aq time,rgb_image_00001.png,17.2241,0.9995,13.2241,3.0005
High-Proc+ low aq time,rgb_image_00002_0.5.png,17.1134,2.0003,14.1163,0.9968
High-Proc+ low aq time,rgb_image_00002_0.25.png,14.9999,0.9995,12.0003,2.0001
High-Proc+ low aq time,rgb_image_00002.png,18.2085,2.0001,13.2101,2.9984
Low-Proc + High aq time,rgb_image_00000_0.5.png,17.7875,1.1463,14.6410,2.0001
Low-Proc + High aq time,rgb_image_00000_0.25.png,21.2202,1.0016,17.2200,2.9986
Low-Proc + High aq time,rgb_image_00000.png,21.7719,2.5089,16.2628,3.0003
Low-Proc + High aq time,rgb_image_00001_0.5.png,14.0896,0.9995,11.0898,2.0003
Low-Proc + High aq time,rgb_image_00001_0.25.png,14.0061,1.0004,11.0016,2.0041
Low-Proc + High aq time,rgb_image_00001.png,25.6994,2.0001,20.1955,3.5038
Low-Proc + High aq time,rgb_image_00002_0.5.png,15.1572,2.0046,11.1542,1.9984
Low-Proc + High aq time,rgb_image_00002_0.25.png,16.7928,1.0002,11.6510,4.1416
Low-Proc + High aq time,rgb_image_00002.png,15.0135,2.0039,10.9971,2.0125
Low-Proc + low aq time,rgb_image_00000_0.5.png,14.0855,1.0004,11.0841,2.0010
Low-Proc + low aq time,rgb_image_00000_0.25.png,23.3595,0.9995,19.2606,3.0994
Low-Proc + low aq time,rgb_image_00000.png,14.2314,1.0004,11.2314,1.9996
Low-Proc + low aq time,rgb_image_00001_0.5.png,14.0011,2.0013,10.0002,1.9996
Low-Proc + low aq time,rgb_image_00001_0.25.png,14.2620,1.1353,11.1268,1.9999
Low-Proc + low aq time,rgb_image_00001.png,18.2681,2.0001,15.2683,0.9997
Low-Proc + low aq time,rgb_image_00002_0.5.png,14.6489,1.9991,10.5081,2.1417
Low-Proc + low aq time,rgb_image_00002_0.25.png,13.0000,0.9995,10.0005,2.0001
Low-Proc + low aq time,rgb_image_00002.png,14.1158,1.9968,10.0057,2.1133
Low-Proc + medium aq time,rgb_image_00000_0.5.png,14.2312,2.0003,10.2308,2.0001
Low-Proc + medium aq time,rgb_image_00000_0.25.png,13.6287,0.9973,10.1216,2.5098
Low-Proc + medium aq time,rgb_image_00000.png,15.1374,1.9991,11.1377,2.0006
Low-Proc + medium aq time,rgb_image_00001_0.5.png,18.2269,1.1008,15.1260,2.0001
Low-Proc + medium aq time,rgb_image_00001_0.25.png,16.0012,0.9992,11.0004,4.0016
Low-Proc + medium aq time,rgb_image_00001.png,14.1342,2.0032,10.1311,1.9999
Low-Proc + medium aq time,rgb_image_00002_0.5.png,15.1107,0.9992,12.1114,2.0001
Low-Proc + medium aq time,rgb_image_00002_0.25.png,22.1207,0.9997,18.1215,2.9995
Low-Proc + medium aq time,rgb_image_00002.png,15.1267,2.0003,10.1266,2.9998
Medium-Proc + High aq time,rgb_image_00000_0.5.png,14.1954,2.0719,10.1237,1.9999
Medium-Proc + High aq time,rgb_image_00000_0.25.png,20.6332,1.0035,17.1771,2.4526
Medium-Proc + High aq time,rgb_image_00000.png,15.6405,1.9999,10.6425,2.9981
Medium-Proc + High aq time,rgb_image_00001_0.5.png,16.2175,2.0001,12.0864,2.1310
Medium-Proc + High aq time,rgb_image_00001_0.25.png,13.5384,1.0002,10.1306,2.4076
Medium-Proc + High aq time,rgb_image_00001.png,15.3902,2.1782,11.2123,1.9996
Medium-Proc + High aq time,rgb_image_00002_0.5.png,22.2366,2.0831,17.9987,2.1548
Medium-Proc + High aq time,rgb_image_00002_0.25.png,13.9995,1.9999,9.9993,2.0003
Medium-Proc + High aq time,rgb_image_00002.png,15.1799,1.9989,10.1795,3.0015
Medium-Proc + low aq time,rgb_image_00000_0.5.png,16.1490,1.9999,12.1486,2.0006
Medium-Proc + low aq time,rgb_image_00000_0.25.png,13.3483,0.9997,10.1876,2.1610
Medium-Proc + low aq time,rgb_image_00000.png,15.0974,2.0015,11.0958,2.0001
Medium-Proc + low aq time,rgb_image_00001_0.5.png,18.1632,2.0008,14.1633,1.9991
Medium-Proc + low aq time,rgb_image_00001_0.25.png,14.0002,0.9999,10.9999,2.0003
Medium-Proc + low aq time,rgb_image_00001.png,15.1548,1.0006,13.1555,0.9987
Medium-Proc + low aq time,rgb_image_00002_0.5.png,13.1316,0.9999,11.1332,0.9985
Medium-Proc + low aq time,rgb_image_00002_0.25.png,14.1144,1.1141,11.0013,1.9989
Medium-Proc + low aq time,rgb_image_00002.png,14.2872,2.1348,10.1523,2.0001
